Household_ID,State,Rural_Urban,Household_Size,Monthly_Income,Education_Level,Employment_Status,Food_Expenditure,Housing_Expenditure,Transport_Expenditure,Healthcare_Expenditure,Other_Expenditures,Total_Expenditure,MPCE,Age_Household_Head,Gender_Household_Head,Electricity_Access,Internet_Access,Cooking_Fuel_Type,Water_Source,Sanitation_Facility,Vehicle_Ownership,Loan_Repayment,Savings,Mobile_Phones_Owned,TV_Ownership,Computer_Ownership,Internet_Data_Usage_GB,Type_of_Employment,Agricultural_Land_Owned,Financial_Aid_Received,Type_of_House,Debt_Amount,Insurance_Coverage
H00001,Gujarat,Urban,8,67946,Higher Secondary,Employed,5907,6296,1367,11692,3758,29020,3627.5,57,Female,Yes,No,LPG,Other,No,0,11750,9880,0,Yes,No,97,Unemployed,6,No,Temporary Shelter,479580,No
H00002,Tamil Nadu,Rural,3,26727,Postgraduate,Unemployed,2807,15745,8710,3545,5311,36118,12039.333333333334,32,Female,Yes,No,Wood,Other,No,0,12703,22806,3,Yes,No,145,Unemployed,7,Yes,Own House,454887,Yes
H00003,West Bengal,Rural,8,73056,Postgraduate,Self-Employed,26762,6730,864,2686,7197,44239,5529.875,44,Male,No,No,Wood,River,No,2,16688,43016,2,No,Yes,465,Government,3,No,Rented House,14284,No
H00004,Gujarat,Rural,5,8081,Secondary,Employed,16031,14921,7967,761,16275,55955,11191.0,40,Female,Yes,No,Other,Other,Yes,0,8043,10067,1,No,Yes,261,Unemployed,0,No,Own House,60526,Yes
H00005,Uttar Pradesh,Rural,1,39196,Secondary,Self-Employed,6827,33894,7071,4181,11539,63512,63512.0,45,Female,No,Yes,Wood,Other,Yes,0,4908,30956,3,No,Yes,435,Government,1,Yes,Temporary Shelter,396639,Yes
H00006,Rajasthan,Rural,7,41735,Secondary,Self-Employed,15699,6602,1079,6461,1939,31780,4540.0,69,Female,No,No,Other,Other,Yes,1,10627,37730,1,Yes,No,39,Self-Employed,3,No,Temporary Shelter,28577,No
H00007,West Bengal,Urban,5,85102,Postgraduate,Unemployed,6524,18575,8174,1937,12134,47344,9468.8,79,Male,No,No,Wood,Other,No,1,2804,9279,3,No,No,192,Private,6,No,Temporary Shelter,121867,Yes
H00008,West Bengal,Rural,6,84578,Higher Secondary,Employed,17193,20023,9237,9296,555,56304,9384.0,50,Female,Yes,No,LPG,Piped Water,Yes,2,10176,38723,4,Yes,Yes,238,Unemployed,1,No,Own House,261079,Yes
H00009,Gujarat,Urban,6,30498,Graduate,Unemployed,27883,16997,6968,3754,605,56207,9367.833333333334,47,Female,Yes,No,Wood,River,Yes,2,3936,17687,1,No,Yes,41,Private,5,No,Temporary Shelter,380391,Yes
H00010,Maharashtra,Urban,8,81865,Graduate,Employed,18223,18750,4650,12882,3701,58206,7275.75,42,Male,Yes,Yes,LPG,Well,No,2,17096,23833,1,Yes,Yes,221,Unemployed,1,No,Rented House,321044,Yes
H00011,Uttar Pradesh,Rural,9,36656,Primary,Unemployed,20668,23837,3539,10118,15684,73846,8205.111111111111,55,Female,Yes,Yes,Electricity,Other,Yes,2,9873,22870,1,No,No,195,Unemployed,6,No,Rented House,346750,No
H00012,Gujarat,Rural,2,72695,Graduate,Self-Employed,7313,15997,4637,11315,1169,40431,20215.5,76,Male,Yes,Yes,Wood,Piped Water,Yes,1,11390,33987,0,Yes,No,287,Government,1,No,Temporary Shelter,461084,Yes
H00013,Uttar Pradesh,Urban,9,42900,Graduate,Employed,15598,24067,952,11923,13163,65703,7300.333333333333,66,Male,Yes,No,Wood,River,No,0,8366,4075,2,No,Yes,9,Unemployed,2,Yes,Rented House,268210,No
